idtext,text,label,date,age,country
000001,"Excelente producto, llegó rápido y bien empaquetado. Lo recomiendo ampliamente.",Positivo,12-03-2025,68,Mexico
000002,"Llegó defectuoso, tuve que devolverlo. Terrible.",Negativo,27-11-2025,89,Mexico
000003,"Entrega a tiempo, pero el embalaje llegó aplastado.",Neutral,13-07-2025,84,Mexico
000004,¡Me encantó! Color perfecto y material excelente.,Positivo,24-01-2025,72,Mexico
000005,"Tardó 20 días en llegar, nunca más compro aquí.",Negativo,08-02-2025,27,Mexico
000006,"Atención excelente, resolvieron mi problema muy rápido.",Positivo,06-02-2025,39,Mexico
000007,"Llegó el producto equivocado, tuve que abrir un reclamo.",Negativo,11-08-2025,90,Mexico
000008,Buena calidad por el precio pagado.,Positivo,04-02-2025,38,Mexico
000009,"Ruido extraño desde el primer uso, miedo a que se rompa.",Negativo,09-07-2025,68,Mexico
000010,"Todo bien, funciona normalmente.",Neutral,10-07-2025,71,Mexico
000011,¡La mejor relación calidad-precio que he visto!,Positivo,10-11-2025,22,Mexico
000012,"Publicidad engañosa, el producto es mucho más pequeño de lo que parece en la foto.",Negativo,16-06-2025,49,Mexico
000013,"Repartidor muy educado, lo dejó en portería con cuidado.",Positivo,27-02-2025,71,Mexico
000014,No lo he recibido hasta hoy y ya pasaron 45 días.,Negativo,29-05-2025,57,Mexico
000015,"Bonito, pero la costura se soltó en una semana.",Negativo,16-07-2025,63,Mexico
000016,"Lo recomiendo al 100%, volveré a comprar.",Positivo,21-07-2025,25,Mexico
000017,Precio justo y entrega antes de lo esperado.,Positivo,08-06-2025,41,Mexico
000018,"Llegó faltando una pieza, tuve que comprarla por separado.",Negativo,02-10-2025,61,Mexico
000019,"Excelente calidad de sonido, graves potentes.",Positivo,07-04-2025,62,Mexico
000020,No dura ni la mitad de lo que promete la descripción.,Negativo,16-11-2025,75,Mexico
000021,"Llegó mucho antes del plazo, ¡felicitaciones!",Positivo,16-01-2025,27,Mexico
000022,"Material débil, parece que se va a romper fácilmente.",Negativo,25-05-2025,55,Mexico
000023,Hasta ahora todo funciona perfectamente.,Positivo,17-04-2025,58,Mexico
000024,Lamentablemente llegó rayado.,Negativo,25-04-2025,24,Mexico
000025,"Muy satisfecho con la compra, superó mis expectativas.",Positivo,19-05-2025,69,Mexico
000026,"No lo recomiendo, la batería dura muy poco.",Negativo,02-01-2025,41,Mexico
000027,"Color exactamente como en la foto, ¡me encantó!",Positivo,06-05-2025,60,Mexico
000028,Demora en la atención del servicio al cliente.,Negativo,27-03-2025,45,Mexico
000029,"Buen producto, pero la caja llegó completamente abierta.",Neutral,17-07-2025,59,Mexico
000030,"Excelente vendedor, ¡envió un obsequio adicional!",Positivo,17-09-2025,20,Mexico
000031,No encaja bien en mi modelo.,Negativo,04-07-2025,52,Mexico
000032,Llegó muy rápido y funciona perfectamente.,Positivo,31-07-2025,33,Mexico
000033,Llegó con un fuerte olor químico.,Negativo,12-06-2025,26,Mexico
000034,"Excelente acabado, parece un producto caro.",Positivo,11-04-2025,80,Mexico
000035,La publicidad dice una cosa y entregan otra.,Negativo,29-11-2025,19,Mexico
000036,"Entrega súper rápida, menos de 48 horas.",Positivo,23-11-2025,57,Mexico
000037,Se rompió en el tercer uso.,Negativo,14-08-2025,83,Mexico
000038,Me encantó el diseño moderno.,Positivo,05-07-2025,66,Mexico
000039,El manual de instrucciones solo está en inglés.,Neutral,26-04-2025,32,Mexico
000040,¡La mejor compra que hice este año!,Positivo,06-08-2025,29,Mexico
000041,No vino con factura.,Negativo,22-04-2025,62,Mexico
000042,"Funciona bien, pero se calienta demasiado.",Neutral,09-11-2025,89,Mexico
000043,Recomendado por amigos y no me arrepentí.,Positivo,09-03-2025,67,Mexico
000044,"Muy mala experiencia, el producto llegó usado.",Negativo,28-01-2025,78,Mexico
000045,"Tamaño perfecto, quedó excelente.",Positivo,26-02-2025,30,Mexico
000046,Tardaron mucho en responder en el chat.,Negativo,28-01-2025,56,Mexico
000047,"Calidad excelente, vale cada centavo.",Positivo,21-05-2025,84,Mexico
000048,Llegó con rayones visibles.,Negativo,11-04-2025,36,Mexico
000049,Entrega antes del plazo y producto intacto.,Positivo,22-09-2025,21,Mexico
000050,"No me gustó el material, parece plástico barato.",Negativo,06-01-2025,30,Mexico
000051,¡Me sorprendió positivamente!,Positivo,25-05-2025,35,Mexico
000052,Volvió a presentar fallas después de 10 días.,Negativo,19-02-2025,51,Mexico
000053,Muy práctico y fácil de usar.,Positivo,25-04-2025,43,Mexico
000054,El embalaje llegó roto.,Negativo,09-04-2025,84,Mexico
000055,Estoy encantada con la calidad.,Positivo,12-06-2025,30,Mexico
000056,No cumple lo que promete.,Negativo,01-06-2025,64,Mexico
000057,Llegó a tiempo y bien empaquetado.,Neutral,26-04-2025,37,Mexico
000058,¡Me encantó! Comprar é más.,Positivo,01-04-2025,44,Mexico
000059,Lamentablemente no me sirvió.,Negativo,12-11-2025,83,Mexico
000060,Excelente atención postventa.,Positivo,03-10-2025,20,Mexico
000061,Producto diferente a la foto.,Negativo,26-11-2025,86,Mexico
000062,Funciona perfectamente hasta ahora.,Positivo,17-04-2025,44,Mexico
000063,"Batería defectuosa, se descarga rápido.",Negativo,01-03-2025,61,Mexico
000064,"Color hermoso, exactamente lo que quería.",Positivo,27-02-2025,59,Mexico
000065,Llegó faltando un tornillo.,Negativo,28-11-2025,20,Mexico
000066,"Lo recomiendo totalmente, calidad top.",Positivo,16-03-2025,63,Mexico
000067,"Malo, no lo recomiendo.",Negativo,21-03-2025,59,Mexico
000068,"Llegó antes de lo esperado, ¡felicitaciones!",Positivo,22-09-2025,55,Mexico
000069,Material muy frágil.,Negativo,25-10-2025,30,Mexico
000070,"Excelente producto, 5 estrellas.",Positivo,28-11-2025,60,Mexico
000071,No vino sellado.,Negativo,02-02-2025,38,Mexico
000072,"Muy bueno, cumplió todas las expectativas.",Positivo,31-01-2025,79,Mexico
000073,Se rompió en menos de un mes.,Negativo,24-04-2025,25,Mexico
000074,Entrega rápida y producto de excelente calidad.,Positivo,03-06-2025,18,Mexico
000075,Llegó con una mancha.,Negativo,11-08-2025,51,Mexico
000076,¡Perfecto! Volveré a comprar.,Positivo,31-03-2025,22,Mexico
000077,No me gustó el acabado.,Negativo,09-06-2025,51,Mexico
000078,"Todo correcto, lo recomiendo.",Positivo,04-12-2025,25,Mexico
000079,Demora absurda en la entrega.,Negativo,06-06-2025,49,Mexico
000080,Mejor de lo que imaginaba.,Positivo,06-01-2025,24,Mexico
000081,El producto llegó dañado.,Negativo,18-07-2025,60,Mexico
000082,¡Me encantó el detalle que venía incluido!,Positivo,30-06-2025,26,Mexico
000083,No funciona como se describe.,Negativo,08-05-2025,52,Mexico
000084,"Entrega a tiempo, todo bien.",Neutral,13-07-2025,55,Mexico
000085,"Muy satisfecho, lo recomiendo.",Positivo,11-08-2025,84,Mexico
000086,Lamentablemente llegó con defecto de fabricación.,Negativo,28-06-2025,22,Mexico
000087,Excelente relación calidad-precio.,Positivo,12-01-2025,29,Mexico
000088,Publicidad totalmente engañosa.,Negativo,07-11-2025,71,Mexico
000089,Llegó muy rápido y en perfecto estado.,Positivo,07-10-2025,57,Mexico
000090,Material de baja calidad.,Negativo,14-11-2025,32,Mexico
000091,¡Superó mis expectativas!,Positivo,01-10-2025,77,Mexico
000092,No recibí el reembolso hasta hoy.,Negativo,12-11-2025,53,Mexico
000093,Producto bonito y funcional.,Positivo,24-03-2025,83,Mexico
000094,Llegó con una pieza rota.,Negativo,13-08-2025,36,Mexico
000095,¡Lo recomiendo mucho!,Positivo,19-10-2025,51,Mexico
000096,Muy mala atención.,Negativo,28-10-2025,63,Mexico
000097,Todo conforme a lo anunciado.,Positivo,07-01-2025,83,Mexico
000098,No dura nada.,Negativo,19-05-2025,53,Mexico
000099,¡Excelente vendedor!,Positivo,29-01-2025,42,Mexico
000100,Llegó incorrecto en dos ocasiones.,Negativo,29-05-2025,81,Mexico
000101,"Producto excelente, superó mis expectativas.",Positivo,05-03-2025,64,Mexico
000102,Llegó con defecto y sin respuesta del vendedor.,Negativo,14-07-2025,82,Mexico
000103,"Entrega normal, sin problemas.",Neutral,09-06-2025,45,Mexico
000104,Muy bonito y bien terminado.,Positivo,18-02-2025,39,Mexico
000105,La calidad dejó mucho que desear.,Negativo,21-05-2025,71,Mexico
000106,Excelente atención al cliente.,Positivo,03-04-2025,28,Mexico
000107,"Producto incompleto, faltaban accesorios.",Negativo,27-08-2025,67,Mexico
000108,Buen producto por el precio.,Positivo,11-01-2025,54,Mexico
000109,No funcionó desde el primer día.,Negativo,19-09-2025,76,Mexico
000110,Cumple lo que promete.,Neutral,15-02-2025,40,Mexico
000111,Muy satisfecho con la compra.,Positivo,22-03-2025,31,Mexico
000112,"Material frágil, se rompió rápido.",Negativo,02-06-2025,58,Mexico
000113,Entrega rápida y sin daños.,Positivo,10-04-2025,23,Mexico
000114,Demasiado caro para lo que ofrece.,Negativo,17-07-2025,69,Mexico
000115,Diseño bonito y funcional.,Positivo,26-02-2025,46,Mexico
000116,No llegó en la fecha prometida.,Negativo,05-08-2025,74,Mexico
000117,Excelente relación calidad-precio.,Positivo,12-03-2025,35,Mexico
000118,Presentó fallas después de pocos días.,Negativo,28-10-2025,66,Mexico
000119,Muy fácil de usar.,Positivo,04-01-2025,22,Mexico
000120,No corresponde a la descripción.,Negativo,16-11-2025,80,Mexico
000121,Llegó antes de lo esperado.,Positivo,07-05-2025,29,Mexico
000122,Pésima experiencia con el producto.,Negativo,13-06-2025,85,Mexico
000123,Todo correcto hasta el momento.,Neutral,24-04-2025,47,Mexico
000124,Excelente calidad de materiales.,Positivo,09-02-2025,52,Mexico
000125,El producto llegó usado.,Negativo,30-01-2025,90,Mexico
000126,Muy contento con la compra.,Positivo,14-03-2025,33,Mexico
000127,No vale el precio que cobran.,Negativo,06-09-2025,68,Mexico
000128,Funciona perfectamente.,Positivo,19-01-2025,41,Mexico
000129,Servicio al cliente muy lento.,Negativo,22-10-2025,63,Mexico
000130,Producto conforme a lo anunciado.,Neutral,01-02-2025,50,Mexico
000131,Excelente acabado y buena durabilidad.,Positivo,08-06-2025,37,Mexico
000132,Llegó dañado y sin embalaje adecuado.,Negativo,17-12-2025,88,Mexico
000133,Muy práctico para el día a día.,Positivo,25-03-2025,26,Mexico
000134,No cumplió mis expectativas.,Negativo,29-04-2025,59,Mexico
000135,"Buena compra, volvería a adquirirlo.",Positivo,11-07-2025,34,Mexico
000136,Defecto de fábrica evidente.,Negativo,03-08-2025,77,Mexico
000137,Producto bonito y eficiente.,Positivo,16-01-2025,48,Mexico
000138,No funciona correctamente.,Negativo,21-11-2025,83,Mexico
000139,Entrega rápida y producto intacto.,Positivo,10-10-2025,27,Mexico
000140,Muy mala calidad.,Negativo,04-05-2025,65,Mexico
000141,"Me encantó, excelente compra.",Positivo,18-04-2025,32,Mexico
000142,Llegó con piezas faltantes.,Negativo,27-06-2025,70,Mexico
000143,Cumple su función.,Neutral,13-03-2025,44,Mexico
000144,Material resistente y buen diseño.,Positivo,02-02-2025,36,Mexico
000145,Demora excesiva en la entrega.,Negativo,19-08-2025,61,Mexico
000146,"Muy satisfecho, todo perfecto.",Positivo,23-05-2025,30,Mexico
000147,Producto defectuoso.,Negativo,01-10-2025,79,Mexico
000148,Buena calidad y fácil instalación.,Positivo,07-04-2025,42,Mexico
000149,No lo recomiendo.,Negativo,15-09-2025,56,Mexico
000150,Entrega correcta y sin inconvenientes.,Neutral,28-02-2025,49,Mexico
000151,"Excelente producto, volvería a comprar.",Positivo,06-03-2025,28,Mexico
000152,Presentó problemas desde el inicio.,Negativo,12-11-2025,81,Mexico
000153,Muy útil y práctico.,Positivo,20-01-2025,35,Mexico
000154,Calidad inferior a lo esperado.,Negativo,09-07-2025,60,Mexico
000155,Todo llegó en perfecto estado.,Positivo,17-05-2025,31,Mexico
000156,No cumple con lo anunciado.,Negativo,25-10-2025,73,Mexico
000157,Buen desempeño hasta ahora.,Neutral,03-06-2025,46,Mexico
000158,Excelente atención y entrega rápida.,Positivo,14-04-2025,24,Mexico
000159,Producto frágil.,Negativo,08-08-2025,58,Mexico
000160,Muy buena compra.,Positivo,27-01-2025,29,Mexico
000161,Llegó con retraso.,Negativo,11-09-2025,62,Mexico
000162,Funciona como se describe.,Positivo,05-02-2025,41,Mexico
000163,Pésima calidad.,Negativo,18-11-2025,84,Mexico
000164,Producto correcto.,Neutral,22-04-2025,48,Mexico
000165,Excelente durabilidad.,Positivo,09-03-2025,34,Mexico
000166,Se rompió rápidamente.,Negativo,02-07-2025,71,Mexico
000167,Muy conforme con el producto.,Positivo,16-05-2025,37,Mexico
000168,No cumplió lo prometido.,Negativo,28-08-2025,69,Mexico
000169,Buen diseño y buen funcionamiento.,Positivo,04-02-2025,43,Mexico
000170,Producto llegó defectuoso.,Negativo,13-12-2025,86,Mexico
000171,Me gustó mucho.,Positivo,21-01-2025,26,Mexico
000172,Demasiado frágil.,Negativo,06-10-2025,57,Mexico
000173,Entrega rápida.,Neutral,19-03-2025,45,Mexico
000174,Excelente calidad.,Positivo,07-06-2025,33,Mexico
000175,No volvería a comprar.,Negativo,24-09-2025,75,Mexico
000176,Muy buen producto.,Positivo,02-01-2025,29,Mexico
000177,Llegó con defecto de fábrica.,Negativo,15-08-2025,80,Mexico
000178,Cumple bien su función.,Neutral,11-04-2025,47,Mexico
000179,Totalmente satisfecho.,Positivo,30-03-2025,28,Mexico
000180,No funciona.,Negativo,17-11-2025,85,Mexico
000181,Producto de excelente calidad.,Positivo,08-05-2025,31,Mexico
000182,Experiencia muy negativa.,Negativo,26-06-2025,78,Mexico
000183,Buen producto en general.,Neutral,14-02-2025,44,Mexico
000184,Recomiendo sin dudas.,Positivo,23-04-2025,36,Mexico
000185,Llegó roto.,Negativo,09-10-2025,83,Mexico
000186,Muy satisfecho con el servicio.,Positivo,12-06-2025,27,Mexico
000187,Producto no conforme.,Negativo,28-11-2025,74,Mexico
000188,Excelente compra.,Positivo,03-02-2025,30,Mexico
000189,No funcionó correctamente.,Negativo,16-12-2025,88,Mexico
000190,Todo perfecto.,Positivo,21-05-2025,25,Mexico
000191,Mala calidad del material.,Negativo,07-09-2025,67,Mexico
000192,Muy conforme.,Positivo,18-03-2025,34,Mexico
000193,Llegó con problemas.,Negativo,29-10-2025,79,Mexico
000194,Buen producto y buena entrega.,Positivo,05-04-2025,42,Mexico
000195,No lo recomiendo para nada.,Negativo,11-11-2025,82,Mexico
000196,Producto funcional.,Neutral,24-01-2025,46,Mexico
000197,Excelente experiencia.,Positivo,16-02-2025,29,Mexico
000198,Producto defectuoso.,Negativo,03-12-2025,87,Mexico
000199,Muy buena relación calidad-precio.,Positivo,27-03-2025,35,Mexico
000200,No cumplió con mis expectativas.,Negativo,14-08-2025,68,Mexico
000201,"Excelente producto, muy satisfecho.",Positivo,02-04-2025,30,Mexico
000202,Producto llegó con rayones.,Negativo,19-07-2025,65,Mexico
000203,Entrega dentro del plazo.,Neutral,11-06-2025,48,Mexico
000204,Muy buena calidad.,Positivo,23-01-2025,34,Mexico
